"","H","C","D"
"285",0.999998286858772,1.68985129300077e-06,"3"
"286",0.999985832461698,1.39757918439658e-05,"3"
"287",0.9999224800469,7.65341141901121e-05,"3"
"288",0.999980022252996,1.97162233899112e-05,"3"
"289",0.999996179299858,3.77053362354629e-06,"3"
"290",0.999956019130516,4.33900625184617e-05,"3"
"291",0.999977622892912,2.20681778868646e-05,"3"
"292",0.999997535436065,2.43332931279894e-06,"3"
"293",0.999994258216916,5.66638862865027e-06,"3"
"294",0.999978862621017,2.08227854757449e-05,"3"
"295",0.999975083045718,2.45871061407734e-05,"3"
"296",0.999986578319717,1.32365889986535e-05,"3"
"297",0.999974455869232,2.51534034703206e-05,"3"
"298",0.999991400652798,8.48844471106906e-06,"3"
"299",0.999962825960695,3.66691360845189e-05,"3"
"300",0.999976529165662,2.31254362186563e-05,"3"
"301",0.999995438568554,4.50214883273083e-06,"3"
"302",0.999984943174577,1.48525966385492e-05,"3"
"303",0.999985300822086,1.45036333989752e-05,"3"
"304",0.9999849226586,1.48849505605173e-05,"3"
"305",0.999988282811353,1.15582555144803e-05,"3"
"306",0.999995011930438,4.92349233377493e-06,"3"
"307",0.999979371923063,2.03306353027033e-05,"3"
"308",0.999991948959981,7.94449770074027e-06,"3"
"309",0.999963874760803,3.56460888184782e-05,"3"
"310",0.999989139406774,1.07146239437987e-05,"3"
"311",0.999982311689508,1.74371651668495e-05,"3"
"312",0.99998282070093,1.69454026071321e-05,"3"
"313",0.999954351643333,4.50454046476839e-05,"3"
"314",0.999974504784663,2.51515952497597e-05,"3"
"315",0.999995946527661,4.00207042370359e-06,"3"
"316",0.999975925058914,2.37459227634256e-05,"3"
"317",0.999991996404342,7.89805575453058e-06,"3"
"318",0.99997047426086,2.91791016046054e-05,"3"
"319",0.999974828250433,2.47852865145228e-05,"3"
"320",0.999998458240072,1.52142758459943e-06,"3"
"321",0.999976072791564,2.3607160236065e-05,"3"
"322",0.999937408130877,6.17680825195081e-05,"3"
"323",0.9999943882442,5.53802981798144e-06,"3"
"324",0.999980462358088,1.92868842120718e-05,"3"
"325",0.999989129863358,1.07340577437701e-05,"3"
"326",0.999987067928245,1.27570762279769e-05,"3"
"327",0.999951091834689,4.82634758969421e-05,"3"
"328",0.999985483817371,1.43338868086349e-05,"3"
"329",0.99999614297252,3.80646088189917e-06,"3"
"330",0.99992748144216,7.14865418289749e-05,"3"
"331",0.999999449402672,5.43368356912768e-07,"3"
