"","H","C","Tau","D"
"1029",0.99970462564707,0.000527508761683016,30,5
"1030",0.999809134706915,0.000340747345571766,30,5
"1031",0.999752406520729,0.000443197799694382,30,5
"1032",0.999768811635592,0.000413697593595124,30,5
"1033",0.999803936616699,0.000350577556174739,30,5
"1034",0.99977590171353,0.000401465022407152,30,5
"1035",0.999713993431469,0.000511467195253943,30,5
"1036",0.999825346836404,0.00031230327988802,30,5
"1037",0.999765035637047,0.000419714015980704,30,5
"1038",0.999756917849256,0.000434060403286204,30,5
"1039",0.999744188753931,0.000458000784896057,30,5
"1040",0.999753212410462,0.00044239958985402,30,5
"1041",0.999826903560326,0.000309801716887419,30,5
"1042",0.999710167948576,0.000520496551019536,30,5
"1043",0.999847039781947,0.000273638115462462,30,5
"1044",0.999835777653568,0.000293176943194964,30,5
"1045",0.999716858406711,0.000505963117889503,30,5
"1046",0.999811027086643,0.000337790028656028,30,5
"1047",0.999803494760779,0.000351119811640561,30,5
"1048",0.999696615186863,0.000544195005190576,30,5
"1049",0.999784952091873,0.000385034705799345,30,5
"1050",0.999752969935945,0.000441266130892217,30,5
"1051",0.999789970580469,0.000377264871651233,30,5
"1052",0.999745719265012,0.000455400563879362,30,5
"1053",0.999792524483165,0.000371918900575262,30,5
"1054",0.999819142516967,0.000322954568204237,30,5
"1055",0.999694794819027,0.000546243767530305,30,5
"1056",0.999718061154164,0.000504903651067012,30,5
"1057",0.999732317259902,0.000479348393270125,30,5
"1058",0.999736808958768,0.000471255541525183,30,5
"1059",0.99978073874105,0.000392676833232402,30,5
"1060",0.99981025213799,0.000340486073241671,30,5
"1061",0.999786897353102,0.000380554839092101,30,5
"1062",0.999708124606418,0.000524447859869479,30,5
"1063",0.999724034453754,0.000492661942599052,30,5
"1064",0.999801464997468,0.000355201108300063,30,5
"1065",0.999822759982125,0.000317345489914387,30,5
"1066",0.999804221395222,0.000350264451788967,30,5
"1067",0.999799296478514,0.000359788321526483,30,5
"1068",0.999720635615092,0.00050081668845711,30,5
"1069",0.999728289332662,0.000486631114238977,30,5
"1070",0.999770635663606,0.000410655384898456,30,5
"1071",0.999720438776474,0.000499576615701465,30,5
"1072",0.999783042618411,0.000387548914901772,30,5
"1073",0.999727949008383,0.000486941348041729,30,5
"1074",0.999803352183738,0.000352617394822874,30,5
"1075",0.999808330987087,0.000342409691104209,30,5
"1076",0.999767188623486,0.000416482658759338,30,5
"1077",0.999763057056662,0.000422953671682296,30,5
"1078",0.999770377801246,0.000410305127924743,30,5
"1079",0.999771133432906,0.000410582954240484,30,5
"1080",0.999835425546086,0.000293946655236559,30,5
"1081",0.999709386064725,0.000520294040539612,30,5
"1082",0.999712604535866,0.000512985177225856,30,5
"1083",0.99978354903155,0.00038711850048355,30,5
"1084",0.999789537274966,0.000377578330544129,30,5
"1085",0.999765633095963,0.000418183082114341,30,5
"1086",0.999762726818065,0.00042444276013914,30,5
"1087",0.999763665203992,0.000422254375706609,30,5
"1088",0.99974149412621,0.0004619353553511,30,5
"1089",0.999786808644368,0.000382220093719686,30,5
"1090",0.99976970076342,0.000413240113205921,30,5
"1091",0.999741156027936,0.000463700095501445,30,5
"1092",0.999712343783987,0.000513388349546767,30,5
"1093",0.999786748814943,0.00038165697646392,30,5
"1094",0.999748850876432,0.000450933017110245,30,5
"1095",0.999741824867186,0.000461755684713721,30,5
"1096",0.99974259336958,0.000460896825291296,30,5
"1097",0.999750531142081,0.000447752590524083,30,5
"1098",0.999784410625739,0.000385686817441912,30,5
"1099",0.999746701055129,0.00045336359195605,30,5
"1100",0.999752566676897,0.000443809648091437,30,5
"1101",0.999807916588035,0.000343934068072739,50,5
"1102",0.999802447984521,0.000352774264639069,50,5
"1103",0.999747465496088,0.000451381265418577,50,5
"1104",0.999670896354024,0.000588578467863475,50,5
"1105",0.999805324791423,0.000347441658614006,50,5
"1106",0.99979158658499,0.000372766076482418,50,5
"1107",0.999676016964032,0.000579068447639662,50,5
"1108",0.999817524672645,0.000326587162687908,50,5
"1109",0.999771378893241,0.000409767928492381,50,5
"1110",0.999715927578501,0.000509343087878327,50,5
"1111",0.999802202234435,0.000353493722217286,50,5
"1112",0.999807493224352,0.000344243630743239,50,5
"1113",0.999674602438412,0.000583732467100386,50,5
"1114",0.999747319393579,0.000453263003957195,50,5
"1115",0.999778758670175,0.000396201163908487,50,5
"1116",0.999828723003763,0.000306355153800564,50,5
"1117",0.999712992571643,0.000513570110145043,50,5
"1118",0.999727329198502,0.000488286031924067,50,5
"1119",0.99976115252341,0.000427145083085444,50,5
"1120",0.999822134340474,0.000318658745229264,50,5
"1121",0.999770076936492,0.0004107425691361,50,5
"1122",0.999760075399986,0.000429906464752135,50,5
"1123",0.999763858714332,0.000420782523002408,50,5
"1124",0.999811737105183,0.000337485368771928,50,5
"1125",0.999810329487179,0.000339218197113112,50,5
"1126",0.999795476019689,0.000366132475285873,50,5
"1127",0.999769195114022,0.000413288188711153,50,5
"1128",0.999781956297871,0.000389901672858186,50,5
"1129",0.999744731811009,0.000456376789549418,50,5
"1130",0.999751542987967,0.000444820291264126,50,5
"1131",0.999776016463829,0.000400811797812299,50,5
"1132",0.999776459632855,0.000400405883449442,50,5
"1133",0.99973635778568,0.000471840493290324,50,5
"1134",0.999754174582094,0.00043985536922285,50,5
"1135",0.999805272690514,0.000347467232853253,50,5
"1136",0.999715784531054,0.000509083428224089,50,5
"1137",0.999791789185358,0.00037323626054189,50,5
"1138",0.999807453618176,0.000345055918966373,50,5
"1139",0.999794931527228,0.000367623758650052,50,5
"1140",0.999701769690618,0.000534843867706234,50,5
"1141",0.999777375968718,0.00039813715504206,50,5
"1142",0.99970742980726,0.00052362821460186,50,5
"1143",0.999740406747228,0.000465959858402281,50,5
"1144",0.999749293255786,0.000447969352477354,50,5
"1145",0.999789386355944,0.000377801042924155,50,5
"1146",0.999777864629651,0.000397744071849312,50,5
